date,home_team,score,away_team
29-10-2021,Hoffenheim,2 - 0,Hertha
06-11-2021,Bochum,? - ?,Hoffenheim
14-08-2021,Union Berlin,1 - 1,Leverkusen
21-08-2021,Leverkusen,4 - 0,M''gladbach
28-08-2021,Augsburg,1 - 4,Leverkusen
11-09-2021,Leverkusen,3 - 4,Dortmund
19-09-2021,Stuttgart,1 - 3,Leverkusen
25-09-2021,Leverkusen,1 - 0,Mainz
03-10-2021,Bielefeld,0 - 4,Leverkusen
17-10-2021,Leverkusen,1 - 5,Bayern Munich
24-10-2021,FC Koln,2 - 2,Leverkusen
30-10-2021,Leverkusen,0 - 2,Wolfsburg
07-11-2021,Hertha,? - ?,Leverkusen
13-08-2021,M''gladbach,1 - 1,Bayern Munich
21-08-2021,Leverkusen,4 - 0,M''gladbach
29-08-2021,Union Berlin,2 - 1,M''gladbach
12-09-2021,M''gladbach,3 - 1,Bielefeld
18-09-2021,Augsburg,1 - 0,M''gladbach
25-09-2021,M''gladbach,1 - 0,Dortmund
02-10-2021,Wolfsburg,1 - 3,M''gladbach
16-10-2021,M''gladbach,1 - 1,Stuttgart
23-10-2021,Hertha,1 - 0,M''gladbach
31-10-2021,M''gladbach,2 - 1,Bochum
05-11-2021,Mainz,? - ?,M''gladbach
15-08-2021,Mainz,1 - 0,RB Leipzig
21-08-2021,Bochum,2 - 0,Mainz
28-08-2021,Mainz,3 - 0,Greuther Furth
11-09-2021,Hoffenheim,0 - 2,Mainz
18-09-2021,Mainz,0 - 0,Freiburg
25-09-2021,Leverkusen,1 - 0,Mainz
03-10-2021,Mainz,1 - 2,Union Berlin
16-10-2021,Dortmund,3 - 1,Mainz
22-10-2021,Mainz,4 - 1,Augsburg
30-10-2021,Bielefeld,1 - 2,Mainz
05-11-2021,Mainz,? - ?,M''gladbach
15-08-2021,Mainz,1 - 0,RB Leipzig
20-08-2021,RB Leipzig,4 - 0,Stuttgart
29-08-2021,Wolfsburg,1 - 0,RB Leipzig
11-09-2021,RB Leipzig,1 - 4,Bayern Munich
18-09-2021,FC Koln,1 - 1,RB Leipzig
25-09-2021,RB Leipzig,6 - 0,Hertha
02-10-2021,RB Leipzig,3 - 0,Bochum
16-10-2021,Freiburg,1 - 1,RB Leipzig
23-10-2021,RB Leipzig,4 - 1,Greuther Furth
30-10-2021,Ein Frankfurt,1 - 1,RB Leipzig
06-11-2021,RB Leipzig,? - ?,Dortmund
14-08-2021,Stuttgart,5 - 1,Greuther Furth
20-08-2021,RB Leipzig,4 - 0,Stuttgart
28-08-2021,Stuttgart,2 - 3,Freiburg
12-09-2021,Ein Frankfurt,1 - 1,Stuttgart
19-09-2021,Stuttgart,1 - 3,Leverkusen
26-09-2021,Bochum,0 - 0,Stuttgart
02-10-2021,Stuttgart,3 - 1,Hoffenheim
16-10-2021,M''gladbach,1 - 1,Stuttgart
24-10-2021,Stuttgart,1 - 1,Union Berlin
31-10-2021,Augsburg,4 - 1,Stuttgart
06-11-2021,Stuttgart,? - ?,Bielefeld
14-08-2021,Union Berlin,1 - 1,Leverkusen
22-08-2021,Hoffenheim,2 - 2,Union Berlin
29-08-2021,Union Berlin,2 - 1,M''gladbach
11-09-2021,Union Berlin,0 - 0,Augsburg
19-09-2021,Dortmund,4 - 2,Union Berlin
25-09-2021,Union Berlin,1 - 0,Bielefeld
03-10-2021,Mainz,1 - 2,Union Berlin
16-10-2021,Union Berlin,2 - 0,Wolfsburg
24-10-2021,Stuttgart,1 - 1,Union Berlin
30-10-2021,Union Berlin,2 - 5,Bayern Munich
07-11-2021,FC Koln,? - ?,Union Berlin
14-08-2021,Wolfsburg,1 - 0,Bochum
21-08-2021,Hertha,1 - 2,Wolfsburg
29-08-2021,Wolfsburg,1 - 0,RB Leipzig
11-09-2021,Greuther Furth,0 - 2,Wolfsburg
19-09-2021,Wolfsburg,1 - 1,Ein Frankfurt
25-09-2021,Hoffenheim,3 - 1,Wolfsburg
02-10-2021,Wolfsburg,1 - 3,M''gladbach
16-10-2021,Union Berlin,2 - 0,Wolfsburg
23-10-2021,Wolfsburg,0 - 2,Freiburg
30-10-2021,Leverkusen,0 - 2,Wolfsburg
06-11-2021,Wolfsburg,? - ?,Augsburg
